2,10,19.53776526451111,win
1,5,23.88167715072632,lose
1,10,25.66630482673645,win
1,1,5.711186408996582,lose
1,0,10.737260818481445,lose
1,9,32.4049186706543,win
2,10,39.882829666137695,win
2,10,31.593198776245117,win
1,10,25.247918367385864,win
1,6,47.320990562438965,lose
1,3,18.071410179138184,lose
1,10,21.590631008148193,win
1,10,36.916118144989014,win
2,1,11.678138494491577,lose
2,2,16.739745378494263,lose
2,2,18.791119813919067,lose
2,0,35.01435613632202,lose
2,0,19.922065019607544,lose
2,3,34.45120930671692,lose
2,3,43.019978523254395,lose
1,8,36.586222887039185,lose
1,0,18.266879081726074,lose
2,10,25.556931972503662,win
