algo,score,time,result
2,10,19.53776526451111,win
1,5,23.88167715072632,lose
1,10,25.66630482673645,win
1,1,5.711186408996582,lose
1,0,10.737260818481445,lose
1,9,32.4049186706543,win
2,10,39.882829666137695,win
2,10,31.593198776245117,win
1,10,25.247918367385864,win
1,6,47.320990562438965,lose
1,3,18.071410179138184,lose
1,10,21.590631008148193,win
1,10,36.916118144989014,win
2,1,11.678138494491577,lose
2,2,16.739745378494263,lose
2,2,18.791119813919067,lose
1,10,31.933505535125732,win
1,10,44.28921985626221,win
1,9,32.96194076538086,win
1,10,62.019322872161865,win
1,3,18.463772296905518,lose
1,10,46.53325366973877,win
2,2,11.218701601028442,lose
2,0,3.3990864753723145,lose
2,3,24.420209407806396,lose
2,1,14.58876371383667,lose
2,1,9.913514137268066,lose
2,0,12.558921813964844,lose
2,1,16.626604080200195,lose
2,3,17.271182775497437,lose
1,10,53.81988167762756,win
1,10,52.038679122924805,win
1,10,22.899770975112915,win
1,9,33.573933839797974,win
1,4,27.303255796432495,lose
1,2,4.888430595397949,lose
1,7,36.38449001312256,lose
1,8,31.662193775177002,win
1,5,34.63989734649658,lose
1,6,25.30693554878235,lose
1,9,58.83133053779602,win
2,8,22.70059108734131,lose
2,0,5.658135175704956,lose
1,9,44.65148377418518,lose
1,6,53.559038400650024,lose
1,6,48.15216088294983,lose
1,4,35.945088624954224,lose
1,4,11.160611152648926,lose
1,0,10.73022723197937,lose
1,7,25.009684085845947,lose
1,1,8.579290390014648,lose
1,7,48.38739514350891,lose
1,1,17.466873168945312,lose
1,9,40.67290902137756,lose
1,1,7.017868995666504,lose
1,5,19.13137173652649,lose
1,10,56.60881543159485,win
1,2,15.370429515838623,lose
1,10,60.13151431083679,win
1,0,10.326866865158081,lose
1,6,17.035448789596558,lose
1,10,39.60041904449463,win
1,9,63.30841088294983,lose
1,2,7.370185613632202,lose
1,2,7.8225908279418945,lose
1,0,2.844574213027954,lose
1,0,4.20682168006897,lose
1,10,25.5281400680542,win
1,4,21.138163089752197,lose
1,3,9.833431720733643,lose
1,10,35.16341185569763,win
1,9,51.92063808441162,win
1,3,16.60557460784912,lose
1,9,32.91638994216919,win
1,5,23.463334560394287,lose
1,1,4.950500726699829,lose
1,3,17.032978057861328,lose
1,1,20.633756637573242,lose
1,0,28.44485592842102,lose
1,0,32.63516688346863,lose
1,0,3.3030009269714355,lose
1,0,5.98043417930603,lose
1,0,2.9176530838012695,lose
1,0,4.933484077453613,lose
1,5,28.10654902458191,lose
1,2,18.979755640029907,lose
1,0,4.348951101303101,lose
1,1,7.724015712738037,lose
1,1,15.710775136947632,lose
1,0,17.085022687911987,lose
1,2,22.71664261817932,lose
1,0,27.864315271377563,lose
1,3,31.599212646484375,lose
1,0,35.076369285583496,lose
1,0,2.072899103164673,lose
1,0,5.951405048370361,lose
1,1,3.7373931407928467,lose
1,0,6.942305564880371,lose
1,1,14.276477813720703,lose
1,0,22.410370349884033,lose
1,0,24.221006870269775,lose
1,0,31.25390076637268,lose
1,1,4.66126012802124,lose
1,0,2.7725255489349365,lose
1,2,2.6554174423217773,lose
1,0,6.652067422866821,lose
1,0,2.643404245376587,lose
1,0,2.5242979526519775,lose
1,0,8.38964033126831,lose
1,0,10.294881582260132,lose
1,3,24.24610710144043,lose
1,0,31.08582639694214,lose
1,0,36.23751926422119,lose
1,0,44.932944536209106,lose
1,0,64.3336250782013,lose
1,0,68.54045677185059,lose
1,0,76.1408839225769,lose
1,0,81.46873617172241,lose
1,1,87.10537576675415,lose
1,0,94.62072587013245,lose
1,0,13.14449143409729,lose
1,0,18.778615951538086,lose
1,0,26.512158393859863,lose
1,1,33.0806450843811,lose
1,1,45.38936161994934,lose
1,1,55.872416734695435,lose
1,0,59.721922159194946,lose
1,0,62.89832019805908,lose
1,0,68.84873747825623,lose
1,3,18.76760506629944,lose
1,1,30.87463402748108,lose
1,2,12.670047283172607,lose
1,2,28.85429072380066,lose
1,4,46.01092767715454,lose
1,1,51.17813801765442,lose
1,2,66.08522009849548,lose
1,0,73.20021986961365,lose
1,0,77.14179515838623,lose
1,0,81.09139132499695,lose
1,0,87.28653764724731,lose
1,0,91.76761722564697,lose
1,0,100.62120318412781,lose
1,0,106.60915064811707,lose
1,0,110.78094959259033,lose
1,0,117.72077488899231,lose
1,0,121.78547668457031,lose
1,0,129.55405855178833,lose
1,1,135.1256365776062,lose
